title,description,author,genre
The Mystery Girl and Insecure Boy,"Two lives come close to being one but before they can be, they have to get through the mounds of secrets in-between them. All the while trying to survive high school just like every other 18 year old.",skiddlewhiffers,Romance / Mystery
An au pair and a millionaire,"Lisa, a poor and naive au pair, wants nothing more than to find a pen pal online. But, she had no idea that her pen pal, Alexander, is harboring secrets. Secrets that will overwhelm her.",Eva Goldsby,Romance
Equinox: Beginnings,"To his horror, Jason King wakes up fully aware inside his containment cell while his body remains frozen, on board the giant prison ship, Equinox. He soon discovers his unique mental abilities,",Yusuf R Shaik,Scifi / Adventure
The Way to the Stars,Miri Davner of the scout ship Serengeti enjoys a reputation as an “unorthodox” commander who nevertheless manages to get the job done. So who better to send on a covert operation behind enemy lines?,Kira Bacal,Scifi / Adventure
Solitary Flame (Wardens Book 6),With the Queen's ability to shut off the soul source to both Heaven and Hell Dawn and her Warden sisters are forced to have a Soul Race in an attempt to find a loophole.,Heather Glidewell,Fantasy / Romance
Roots & Melodies,Clea was lost in a momentum of breath and sweat. The bass resonated deep within her bones and her whole chest played at the same beat as the vibrations around her as she became one with the music.,Loulouemt,Romance / Drama
Tales of the Union,This is a collection of short stories taking place in the Galactic Chronicles Universe,Vanessa Ravencroft,Scifi / Action
The Black Pool,"Beneath each deep, there is a greater deep.",Alex Beyman,Horror / Adventure
Crossing Over,"Drew finds love with Emma after returning to his hometown. But when her life is threatened by a ghostly presence from his past, Drew dives into a world of monsters and conspiracies.",Aaron Schultz,Romance / Horror
Unsung Heroes: Mission Zero,Resident Evil/G.I. Joe crossover. The Joe's chief field medic learns of a sinister connection between Cobra and a pharmaceutical company after a chance encounter with a former Marine on the run.,RavenLadies,Action / Horror
Seeing Ghosts,"As a violent spirit starts terrorizing her school and placing her classmates in danger, newly discovered psychic Gina and her ghostly companion Aaron team up to defeat the menace once and for all.",Shelley Miller,Fantasy / Mystery
His Game of Simon Says,"There's something extraordinary about him, perhaps it's his hatred or perhaps it's simply his sense of honor. But nonetheless, people tend to welcome him, while making up bigger stories about him.",mylife32,Romance / Mystery
Rising From the Ashes,"""You said you're stuck between who you are and who you want to be. You know who you are, so who do you want to be?"" He smiled at me weakly, ""Is it bad that I can't even see the difference anymore?""",MidnightCrush,Romance / Fantasy
Destiny's Children: Joby,"Joby is caught between wanting to be free, and feeling obligated to take care of others. Which path will she choose?",Catherine Hagedorn,Adventure / Drama
Because of You,"Damian is Darkness , Brea is Light. He tries everything he can think off to keep her in the light but her love is stronger.",Isabelle Galea,Romance / Other
Galaxy at War (Book II in the Roy Master Cycle),The alien machine paused for a moment as it appeared on top of a mountain of rubble that once had been a housing complex.,Vanessa Ravencroft,Scifi / Adventure
Dawn of Chrysalis,Only on the brink of extinction can we find salvation. The joining of two forces is the only way to prevail; will a common foe be enough to unite these races against all odds?,Sam B Miller II,Scifi / Adventure
A World Unknown,"A spaceship disaster forces the teenage daughter of the Antemonian High Warlord to crash-land on the Terran colony of Geos, only a few years after an uneasy truce ends outright war. Can she get home?",Kira Bacal,Scifi / Drama
Space bus to Benton's Colony,Tales of the Union. The story of a space bus trip across the fringe space. When war against the Shiss breaks out.,Vanessa Ravencroft,Scifi / Action
Build Me a Girl,"""...but because of how I feel, it's what is best for both of us. These things happen, because we all fall in love once, maybe temporarily, maybe at the wrong time, maybe too late, or maybe forever.""",Katie Burgess,Romance / Drama
The Empire Project: The Surge Compound.,"Best-friends, Kristin and Peyton, had no clue what they were getting into, not when they were recruited for spy school, nor when they were talked into getting 'enhanced'.",Bailey French,Action / Romance
The Falconer,"One falcon, one dead rabbit, four slashed tires and a world of trouble. Follow Chloë on her road to self discovery in this young quirky romance.",inkblot,Romance / Humor
In Their Shadow,An average spill on an average hike turns into an average rescue operation. So who would have thought that a simple broken leg could unearth one of the government's deepest secrets? (A 1st draft.),kisupure,Scifi / Thriller
Cracked Open: book 3,"One nymph, one tree spirit and a world of passion, indulgence and plight. Will love prevail against the ghosts of the past?",Madison DiMercurio,Romance / Fantasy
Touch Me,"Leda knows who she is and what she wants. A country girl with dreams of her own bakery. When her best friend calls for help, can she keep her head in the right place when dealing with Duncan Whitaker?",bviragh,Romance
The Princess and The Pirate,"With towering coastal kingdoms, mighty sea faring vessels, royalty, assassins, and espionage; this adventurous tale explores one question. What happens if someone you love is better off dead?",Jackie Kotowicz,Fantasy / Adventure
Anastasia and Zaxa: The King's Welcome (1),"When Anastasia's family is summoned to court she dreams of life married to the prince. But if this is a dream it can only be a nightmare, and her knight is definitely not in shining armor.",mtsieg,Romance / Drama
Caloric,"Bound, by fear, by fire, by destiny.",Tricia Barr,Fantasy / Thriller
Stormlock: Activation,"In the midst of a broken future, elemental wizards have been rediscovered. Now Stormlock Facility will test them to see how they work--if they all can stay alive.",Benjamin J. Sonnek,Scifi / Adventure
Vampire Lover,"Although Annie's the type of person you'll least expect to get involved in anything scary, when it's fate it will be fate.",ReiRan,Romance / Fantasy
Butterfly Enigma II,"With one awkward semester under her belt, Kallima returns to the Fairy Realm with high hopes. Unfortunately, a plot unfolds, pitting her friends against each other...leaving her to rely on her shield.",Britney Morgan,Fantasy / Drama
Wintermere Werewolf,"Lucien is sent to the dungeons for five years. Upon his return, he is sent on a mission to bring another kingdom's Princess to the castle. Will his biggest secret get out and make things complicated?",ScarletCB,Romance / Adventure
Scars,Looking at an animal behind bars is entertaining. But what happens when you are in the cage with them? Do you feel as strong? What happens after? Do the scars and memories ever leave you?,Katherine Tustian,Romance / Other
Walk-In Investigations: A Paranormal Detective Mystery,Walk-In Investigations novel is the first in a planned series that takes readers of detective novels to a different level with a paranormal twist.,Joyce Kostakis,Mystery / Thriller
The Queen that Time Forgot,"Berengaria. Richard the Lionheart's wife. The only English Queen never to set foot in England. Her life was an adventure, her passion was fire. Love, lust, life and romance from the Forgotten Queen.",India Millar,Romance / Other
Tricked Into Another World! Volume One,"Tetsu Tagami, a university student and online gamer. Having become the best Magic Swordsmen of Project Iris Online, he’s sent an invitation to come to an entirely different world.",arandomwriter,Fantasy / Adventure
RADIANT,"""I will tell you three things about yourself now. You are never to repeat these things to anyone, and you are never to ask me any further questions,"" Lady Amelia said slowly. ""Are you ready, Hana?""",Gracie Lutz,Fantasy / Romance
Captive,"Molly Sinclair has heard stories of the past, when human males had power and roamed free. But in her world things are different. In her world, males are captive.",Jayna,Other / Scifi
The Parallel,"Seconds from dying, Sydney Phillips is saved by a girl.. herself. Sydney soon finds herself with the fact that there's more than one version of her... and they are all dying across the multiverse",M3rcy,Scifi / Romance
Gravel Ghost,"I'm weak, curled in on myself. I've been trained for these kinds of situations, but never thought I would be living it. I was naive to think I would never have to kill someone in such a gruesome way.",Charyse Allan,Thriller / Other
The Altered: Subsist,Katherine and her sister run from the government to keep themselves safe. They meet up with Daren and his sister after being attacked. Can they work together to stay alive?,Donise Sheppard,Scifi / Other
Cosi Fan What Now?,Three men engage in a wager that isn't exactly what it seems and help two women realize that true love had been in front of them all along.,KJMusings,Romance
Galaxy at War,"Roy and his alien pet are now on their way to Sares Prime, where he supposed to go to College. While he travels to the exotic home system of the Saresii, the Galaxy prepares for war.",Vanessa Ravencroft,Scifi / Adventure
Love Torn,When love hits you from the most unexpected places - who will you choose.,Gwendolene Candice Valentine,Romance / Drama
The Quantum Irregulars,"A group of time-traveling misfits are recruited to capture a rogue operative who plans to bring about the collapse of reality, but along the way they find themselves a part of a larger conspiracy.",HarrowKildare,Scifi / Adventure
The Ghost Of You,"Kai is just your average teenage boy until he meets the Love of his life. The only problem is, he's a Ghost.",Krystle Byrd,Romance / Other
The Sovereign - the One of Fire (Book 1),"Would you choose peaceful agony, or would you choose to rebel? Seraphina was born of flames, born to lead the rebellion against the Sovereign. Join her in her quest for power, love and friendship.",RubyonWings,Fantasy / Romance
Stumble,"It was just supposed to be my good deed of the week, but now I can't escape the little demon. Stupid Jiminy Cricket and his words of wisdom. No wonder Pinnochio ended up inside a whale ...",Marleigh John,Romance / Humor
Domino Effect,No one seems to know the handsome coma patient. Will nursing him force Bailey to reconnect with her distant mother? Will she be able to cope with the crosshairs now pointed at her back?,johnson15,Romance / Drama
Royalty (Book 1),"Lies, secrets, murder. Who knew it could be so hard to be royal?",T_Harper,Adventure / Mystery
The Curse of the River Woman,"After a series of mysterious attacks on his village, a sickly young man who can see into the spirit world dares to save his homeland.",Nevermore1849,Fantasy / Adventure
Tracer,Fingerprints identify us in this life. Palm prints track our past lives. You can run from greatness but the past always has a way of catching up...,Michael Cassata,Scifi / Action
More Than What We See,"A Lesbian Story.: There are always secrets we keep, but what do you reveal? How much should you surrender? Would you give it all up for love or should love give it up for you?",N.K. Solatorio,Romance / Drama
